StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Participant ID:,Please select your age range:,Please select your sex:,Please select your academic status:,Please select the statement that best describes your knowledge of to. [Select the last option that applies to you]
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}"
2021-09-05 16:23:34,2021-09-05 16:24:18,IP Address,150.135.165.56,100,44,True,2021-09-05 16:24:18,R_pxxIqxNKpAxESVX,,,,,32.25030517578125,-110.94499969482421875,anonymous,EN,m01,20-49,Male,Master's student,I have no knowledge about morphological characters of Carex
2021-09-17 15:37:33,2021-09-17 15:38:09,IP Address,150.135.165.48,100,36,True,2021-09-17 15:38:10,R_WxjoPzkPwbnUlSV,,,,,32.25030517578125,-110.94499969482421875,anonymous,EN,m02,20-49,Male,Master's student,I have no knowledge about morphological characters of Carex
2021-10-14 16:37:47,2021-10-14 16:38:05,IP Address,150.135.165.50,100,18,True,2021-10-14 16:38:05,R_OdoDIbRwHXs2NYl,,,,,32.25030517578125,-110.94499969482421875,anonymous,EN,P01,20-49,Male,Master's student,I have no knowledge about morphological characters of Carex
2021-10-14 17:33:33,2021-10-14 17:34:25,IP Address,150.135.165.63,100,52,True,2021-10-14 17:34:25,R_tKu1iTqzMWUazqF,,,,,32.25030517578125,-110.94499969482421875,anonymous,EN,p02,20-49,Male,Master's student,I have no knowledge about morphological characters of Carex
2021-10-21 16:59:52,2021-10-21 17:00:30,IP Address,70.171.214.81,100,38,True,2021-10-21 17:00:31,R_33wHtl6xyVHEuEd,,,,,32.246002197265625,-110.91770172119140625,anonymous,EN,p03,20-49,Male,Ph.D. student,I have no knowledge about morphological characters of Carex
2021-10-22 15:02:00,2021-10-22 15:02:43,IP Address,150.135.165.6,100,43,True,2021-10-22 15:02:44,R_2X6uGBw7xOHZyR9,,,,,32.25030517578125,-110.94499969482421875,anonymous,EN,p04,20-49,Non-binary / third gender,Ph.D. student,I have no knowledge about morphological characters of Carex
2021-11-02 20:29:35,2021-11-02 20:29:52,IP Address,72.217.47.50,100,17,True,2021-11-02 20:29:53,R_2azcZEAjUGwyxYo,,,,,32.2122955322265625,-110.878997802734375,anonymous,EN,P09,20-49,Male,Master's student,I have no knowledge about morphological characters of Carex
2021-11-02 20:30:45,2021-11-02 20:30:57,IP Address,73.24.178.130,100,11,True,2021-11-02 20:30:57,R_0kVq5ODHF0TsITv,,,,,32.272796630859375,-110.765899658203125,anonymous,EN,P08,20-49,Male,Master's student,I have no knowledge about morphological characters of Carex
2021-12-01 09:00:02,2021-12-01 09:00:26,IP Address,174.116.34.76,100,23,True,2021-12-01 09:00:26,R_3lYvtl3yErB50Wg,,,,,45.33160400390625,-75.6717987060546875,anonymous,EN,s111,20-49,Female,Undergraduate student,I am/was exposed to those in an undergraduate course
2021-12-13 09:02:07,2021-12-13 09:03:28,IP Address,99.240.100.84,100,81,True,2021-12-13 09:03:28,R_3hzEzTnYJwrE4Cy,,,,,43.701202392578125,-79.38770294189453125,anonymous,EN,s211,20-49,Male,Undergraduate student,I am/was exposed to those in an undergraduate course
2021-12-22 11:00:04,2021-12-22 11:01:13,IP Address,99.246.200.237,100,68,True,2021-12-22 11:01:14,R_3CZ8O6i3jBcsnQm,,,,,43.56390380859375,-79.71720123291015625,anonymous,EN,s221,20-49,Female,Undergraduate student,I am/was exposed to those in an undergraduate course
2021-12-27 11:58:28,2021-12-27 11:59:09,IP Address,142.160.26.243,100,41,True,2021-12-27 11:59:09,R_ZwtIwC92FMWepzz,,,,,49.84320068359375,-97.11409759521484375,anonymous,EN,s118,20-49,Female,Undergraduate student,I am/was exposed to those in an undergraduate course
2021-12-27 12:00:13,2021-12-27 12:00:44,IP Address,142.160.26.243,100,30,True,2021-12-27 12:00:44,R_3lAG1hxI2lbcjSi,,,,,49.84320068359375,-97.11409759521484375,anonymous,EN,s229,20-49,Female,Undergraduate student,I am/was exposed to those in an undergraduate course
2022-01-05 10:00:10,2022-01-05 10:00:42,IP Address,205.200.240.35,100,31,True,2022-01-05 10:00:42,R_0B5MS4m61mQxqGB,,,,,49.5290985107421875,-96.68520355224609375,anonymous,EN,S122,20-49,Female,Undergraduate student,I am/was exposed to those in an undergraduate course
2022-01-06 09:00:13,2022-01-06 09:00:48,IP Address,142.161.236.132,100,35,True,2022-01-06 09:00:49,R_xz5YZXB6WNPgelj,,,,,49.84320068359375,-97.11409759521484375,anonymous,EN,s115,20-49,Female,Undergraduate student,I am/was exposed to those in an undergraduate course
2022-01-06 12:01:19,2022-01-06 12:01:47,IP Address,206.45.225.145,100,27,True,2022-01-06 12:01:47,R_uqAslzx1Cf9CL4Z,,,,,49.884002685546875,-97.1287994384765625,anonymous,EN,s217,20-49,Female,Undergraduate student,I am/was exposed to those in an undergraduate course
2022-01-06 12:01:29,2022-01-06 12:02:27,IP Address,50.71.162.134,100,58,True,2022-01-06 12:02:28,R_1F2PUGx0NJMA1FZ,,,,,49.7834014892578125,-97.10359954833984375,anonymous,EN,s112,20-49,Female,Master's student,I am/was exposed to those in an undergraduate course
2022-01-07 09:01:07,2022-01-07 09:03:08,IP Address,158.51.244.107,100,121,True,2022-01-07 09:03:08,R_Oa5wWAMmivxg9O1,,,,,49.817901611328125,-97.15350341796875,anonymous,EN,Francisca Ehileme,20-49,Female,Undergraduate student,I am/was exposed to those in an undergraduate course
2022-01-07 13:00:58,2022-01-07 13:01:42,IP Address,209.222.167.139,100,44,True,2022-01-07 13:01:43,R_1Kjwz5FwmpJwbRO,,,,,53.55340576171875,-113.498199462890625,anonymous,EN,s213,20-49,Female,Undergraduate student,I am/was exposed to those in an undergraduate course
2022-01-08 10:59:15,2022-01-08 10:59:36,IP Address,24.78.5.188,100,21,True,2022-01-08 10:59:36,R_2v6x4Vq4cuWaDWR,,,,,49.817901611328125,-97.15350341796875,anonymous,EN,s121,20-49,Female,Undergraduate student,I am/was exposed to those in an undergraduate course
2022-01-10 12:01:48,2022-01-10 12:02:26,IP Address,50.71.164.169,100,37,True,2022-01-10 12:02:26,R_AbWQfn5ky6fDjMd,,,,,49.7834014892578125,-97.10359954833984375,anonymous,EN,s214,20-49,Female,Undergraduate student,I am/was exposed to those in an undergraduate course
2022-01-10 14:00:42,2022-01-10 14:01:10,IP Address,50.71.129.168,100,27,True,2022-01-10 14:01:10,R_3npZIs4dpcm4abH,,,,,49.8715972900390625,-97.1363983154296875,anonymous,EN,s113,20-49,Non-binary / third gender,Undergraduate student,I am/was exposed to those in an undergraduate course
2022-01-12 13:00:10,2022-01-12 13:00:48,IP Address,24.77.21.156,100,38,True,2022-01-12 13:00:48,R_1LhCie3MSdzBiru,,,,,49.817901611328125,-97.15350341796875,anonymous,EN,s127,20-49,Female,Undergraduate student,I am/was exposed to those in an undergraduate course
2022-01-13 08:01:36,2022-01-13 08:02:07,IP Address,50.71.105.1,100,31,True,2022-01-13 08:02:07,R_3lRDhm2DLxcPATO,,,,,49.817901611328125,-97.15350341796875,anonymous,EN,s212,20-49,Male,Master's student,I am/was exposed to those in an undergraduate course
2022-04-18 07:51:55,2022-04-18 07:52:47,IP Address,137.122.64.29,100,52,True,2022-04-18 07:52:47,R_2bPhIbeg1afh1RP,,,,,45.4223,-75.7081,anonymous,EN,OP12,60-69,Male,Undergraduate student,I acquired such knowledge through substantial informal learning
2022-04-18 07:51:50,2022-04-18 07:54:17,IP Address,137.122.64.29,100,146,True,2022-04-18 07:54:17,R_2CHdTR9syCif3Lz,,,,,45.4223,-75.7081,anonymous,EN,OP9,>69,Male,"Professional (faculty member, research scientists, collection manager, curator, etc.)",I authored taxonomic descriptions for Carex
2022-04-18 07:55:39,2022-04-18 07:56:49,IP Address,137.122.64.29,100,69,True,2022-04-18 07:56:49,R_2rPh2CvuO3JJWvE,,,,,45.4223,-75.7081,anonymous,EN,OP11,50-59,Male,"Professional (faculty member, research scientists, collection manager, curator, etc.)",I authored taxonomic descriptions for Carex
2022-04-18 07:56:14,2022-04-18 07:56:51,IP Address,137.122.64.29,100,37,True,2022-04-18 07:56:52,R_3iL5kXWafyPtAK1,,,,,45.4223,-75.7081,anonymous,EN,OP14,>69,Male,"Professional (faculty member, research scientists, collection manager, curator, etc.)",I authored taxonomic descriptions for Carex
2022-04-18 07:55:33,2022-04-18 07:58:18,IP Address,137.122.64.29,100,165,True,2022-04-18 07:58:19,R_1F9Ab7X8nbSqfmD,,,,,45.4223,-75.7081,anonymous,EN,OP4,20-49,Male,"Professional (faculty member, research scientists, collection manager, curator, etc.)",I authored taxonomic descriptions for Carex
2022-04-18 07:57:49,2022-04-18 08:00:29,IP Address,137.122.64.29,100,160,True,2022-04-18 08:00:29,R_3mjBTNzMLtT2cIS,,,,,45.4223,-75.7081,anonymous,EN,PID:OP5,>69,Male,"Professional (faculty member, research scientists, collection manager, curator, etc.)",I authored taxonomic descriptions for Carex
2022-04-18 08:01:32,2022-04-18 08:02:03,IP Address,137.122.64.29,100,30,True,2022-04-18 08:02:03,R_3D1hV8JGM8WKZTN,,,,,45.4223,-75.7081,anonymous,EN,OP13,20-49,Male,"Professional (faculty member, research scientists, collection manager, curator, etc.)",I authored taxonomic descriptions for Carex
2022-04-18 08:01:37,2022-04-18 08:02:57,IP Address,137.122.64.29,100,79,True,2022-04-18 08:02:57,R_1gtZqyWnTOCWykP,,,,,45.4223,-75.7081,anonymous,EN,OP8,20-49,Male,Master's student,I acquired such knowledge through substantial informal learning
2022-04-19 08:04:58,2022-04-19 08:06:22,IP Address,137.122.64.29,100,84,True,2022-04-19 08:06:22,R_3HYb01gVOs3twg3,,,,,45.4223,-75.7081,anonymous,EN,OP7,50-59,Male,"Professional (faculty member, research scientists, collection manager, curator, etc.)",I am/was exposed to those in a graduate course
